id,run_id,drug_id,platform,query,search_rank,product_id,shop_name,url,title,list_price_raw,candidate_type,sku_verification_status,responsibility_match_status,is_formal_price,reason,raw,discovered_at
a54b087b-6b74-49c7-8b64-9daba4719e7e,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥,13,996049743824,百年传徽医药专营店,https://item.taobao.com/item.htm?id=996049743824,,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 09:38:57.696800
42f48abd-f5db-41f8-953f-83b7a3da96c6,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,yaoshibang,托妥 瑞舒伐他汀钙片,13,1142454120,宏洲旗舰店,https://dian.ysbang.cn/#/druginfo?wholesaleId=1142454120&providerId=493,19盒包邮 新托妥 瑞舒伐他汀钙片10mg*28片,15.94,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 13, ""title"": ""19盒包邮 新托妥 瑞舒伐他汀钙片10mg*28片"", ""price"": ""15.94"", ""spec"": ""10mg*28片"", ""shop"": ""宏洲旗舰店"", ""wholesale_id"": ""1142454120"", ""provider_id"": ""493"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""311"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1142454120&providerId=493""}",2026-07-20 09:52:01.994094
ac175db3-3d54-45e8-a676-37f0083cd280,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,yaoshibang,托妥 瑞舒伐他汀钙片,17,11442113,药通宝丹桂园,https://dian.ysbang.cn/#/druginfo?wholesaleId=11442113&providerId=3406,1盒起购 南京正大 新托妥  瑞舒伐他汀钙片10mg*28片,16.60,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 17, ""title"": ""1盒起购 南京正大 新托妥  瑞舒伐他汀钙片10mg*28片"", ""price"": ""16.60"", ""spec"": ""10mg*28片"", ""shop"": ""药通宝丹桂园"", ""wholesale_id"": ""11442113"", ""provider_id"": ""3406"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""42"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=11442113&providerId=3406""}",2026-07-20 09:52:01.994103
b0d7a337-8fa9-4417-b950-7cdb007b0787,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,yaoshibang,托妥 瑞舒伐他汀钙片,14,1174879832,融泰重庆,https://dian.ysbang.cn/#/druginfo?wholesaleId=1174879832&providerId=16506,10盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片,13.60,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 14, ""title"": ""10盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片"", ""price"": ""13.60"", ""spec"": ""10mg*24片"", ""shop"": ""融泰重庆"", ""wholesale_id"": ""1174879832"", ""provider_id"": ""16506"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""329"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1174879832&providerId=16506""}",2026-07-20 09:52:01.994096
77166ad5-e599-4ad7-a363-8a8590e4ef01,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,yaoshibang,托妥 瑞舒伐他汀钙片,16,1185305865,丹光医药,https://dian.ysbang.cn/#/druginfo?wholesaleId=1185305865&providerId=8363,10盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片,13.45,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 16, ""title"": ""10盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片"", ""price"": ""13.45"", ""spec"": ""10mg*24片"", ""shop"": ""丹光医药"", ""wholesale_id"": ""1185305865"", ""provider_id"": ""8363"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""50"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1185305865&providerId=8363""}",2026-07-20 09:52:01.994101
40f49caf-b16f-4bb9-b10d-e271e96a479a,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,yaoshibang,托妥 瑞舒伐他汀钙片,10,1257579061,世济药,https://dian.ysbang.cn/#/druginfo?wholesaleId=1257579061&providerId=2641,20盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片,13.20,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 10, ""title"": ""20盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片"", ""price"": ""13.20"", ""spec"": ""10mg*24片"", ""shop"": ""世济药"", ""wholesale_id"": ""1257579061"", ""provider_id"": ""2641"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""89"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1257579061&providerId=2641""}",2026-07-20 09:52:01.994088
c58b8c55-21d0-42e2-b8e0-3e05219c497d,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,yaoshibang,托妥 瑞舒伐他汀钙片,12,1281814884,药店品种预约中心,https://dian.ysbang.cn/#/druginfo?wholesaleId=1281814884&providerId=4788,10盒包邮 新托妥 瑞舒伐他汀钙片10mg*28片,16.40,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 12, ""title"": ""10盒包邮 新托妥 瑞舒伐他汀钙片10mg*28片"", ""price"": ""16.40"", ""spec"": ""10mg*28片"", ""shop"": ""药店品种预约中心"", ""wholesale_id"": ""1281814884"", ""provider_id"": ""4788"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""40"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1281814884&providerId=4788""}",2026-07-20 09:52:01.994092
22160d1f-6f6d-4d4c-b04d-928f07262539,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,yaoshibang,托妥 瑞舒伐他汀钙片,19,1289240645,泓坤旗舰店,https://dian.ysbang.cn/#/druginfo?wholesaleId=1289240645&providerId=831,15盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片,13.58,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 19, ""title"": ""15盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片"", ""price"": ""13.58"", ""spec"": ""10mg*24片"", ""shop"": ""泓坤旗舰店"", ""wholesale_id"": ""1289240645"", ""provider_id"": ""831"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""45"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1289240645&providerId=831""}",2026-07-20 09:52:01.994107
4acb41e5-b3aa-46f4-a36f-6941a9336bdb,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,yaoshibang,托妥 瑞舒伐他汀钙片,11,1294687087,乐兴医药,https://dian.ysbang.cn/#/druginfo?wholesaleId=1294687087&providerId=4088,23盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片,13.17,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 11, ""title"": ""23盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片"", ""price"": ""13.17"", ""spec"": ""10mg*24片"", ""shop"": ""乐兴医药"", ""wholesale_id"": ""1294687087"", ""provider_id"": ""4088"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""259"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1294687087&providerId=4088""}",2026-07-20 09:52:01.994090
a105f92f-bf1d-4e1d-a311-cb86f9a9874d,023dbaa8-e0f3-40bf-83ec-89f521dd12c8,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,yaoshibang,托妥 瑞舒伐他汀钙片,18,1295009724,大聪明,https://dian.ysbang.cn/#/druginfo?wholesaleId=1295009724&providerId=12579,23盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片,13.30,new_store,pending_detail_verification,pending_assignment,False,责任档案未匹配的新店,"{""rank"": 18, ""title"": ""23盒包邮 新托妥 瑞舒伐他汀钙片10mg*24片"", ""price"": ""13.30"", ""spec"": ""10mg*24片"", ""shop"": ""大聪明"", ""wholesale_id"": ""1295009724"", ""provider_id"": ""12579"", ""manufacturer"": ""南京正大天晴制药有限公司"", ""unit"": ""盒"", ""stock"": ""710"", ""url"": ""https://dian.ysbang.cn/#/druginfo?wholesaleId=1295009724&providerId=12579""}",2026-07-20 09:52:01.994105
