source_file,row_number,issue_type,severity,business_key,details
趣维1-3月总数据.xlsx,1815,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|广旭堂大药房旗舰店
趣维1-3月总数据.xlsx,1816,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|草本薄荷大药房旗舰店
趣维1-3月总数据.xlsx,1822,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|经贸大药房旗舰店
趣维1-3月总数据.xlsx,1823,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|渭泽堂大药房旗舰店
趣维1-3月总数据.xlsx,1826,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|湖北益丰大药房旗舰店
趣维1-3月总数据.xlsx,1832,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|河南益康大药房旗舰店
趣维1-3月总数据.xlsx,1835,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|秦药堂大药房旗舰店
趣维1-3月总数据.xlsx,1836,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|康驰瑞源大药房旗舰店
趣维1-3月总数据.xlsx,1843,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|湖北好药师大药房旗舰店
趣维1-3月总数据.xlsx,1845,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|益航大药房旗舰店
趣维1-3月总数据.xlsx,1852,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|咸阳同泰大药房旗舰店
趣维1-3月总数据.xlsx,1853,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|国药永康大药房旗舰店
趣维1-3月总数据.xlsx,1884,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|德林堂大药房旗舰店
趣维1-3月总数据.xlsx,1890,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|药无忧大药房旗舰店
趣维1-3月总数据.xlsx,1909,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|润春堂大药房旗舰店
趣维1-3月总数据.xlsx,1918,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/850f55e1f8a31d7bb4bb1454dd4d1f1f189357.png,美团|同心方圆大药房旗舰店
趣维1-3月总数据.xlsx,1919,store_unmatched,medium,http://p0.meituan.net/healthproductabilitypicture/eedfbf8036e67b0a23ad8fa1ab7bf43c404254.png,美团|美团官方补贴
趣维1-3月总数据.xlsx,1924,store_unmatched,medium,http://p0.meituan.net/healthproductabilitypicture/eedfbf8036e67b0a23ad8fa1ab7bf43c404254.png,美团|美团官方补贴
趣维1-3月总数据.xlsx,1927,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|惠泽大药房旗舰店
趣维1-3月总数据.xlsx,1928,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|丰原大药房旗舰店
趣维1-3月总数据.xlsx,1929,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|康辅大药房旗舰店
趣维1-3月总数据.xlsx,1934,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|唐药惠仁大药房旗舰店
趣维1-3月总数据.xlsx,1957,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|洪福堂大药房旗舰店
趣维1-3月总数据.xlsx,1966,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|济康大药房旗舰店
趣维1-3月总数据.xlsx,1968,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|健康源大药房旗舰店
趣维1-3月总数据.xlsx,1972,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|诺必赞Nuo&Zan大药房旗舰店
趣维1-3月总数据.xlsx,1975,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|拜而大药房旗舰店
趣维1-3月总数据.xlsx,1984,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|天津实泽百草堂大药房旗舰店
趣维1-3月总数据.xlsx,1985,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|安徽康益欣大药房旗舰店
趣维1-3月总数据.xlsx,1994,store_unmatched,medium,http://p0.meituan.net/healthmcompliancesp/26736b2db8244be6bad2822ee6aece75293466.png,美团|广济堂大药房旗舰店
